Keys	English	Français [fr]	Español [es]	Deutsch [de]	Nederlands [nl]	Italiano [it]	Português do Brasil [pt-BR]	Русский [ru]	简体中文 [zh-CN]	繁体中文 [zh-TW]	日本語 [ja]	한국어 [ko]	Svenska [sv]	Polski [pl]	Türkçe [tr]
Orbs/orbofgreed_name	Orb of Greed			Gierorb				Шар Жадности	欲望弹珠	慾望彈珠					
Orbs/shuffle_deck_on_discard	Shuffles Deck on discard			Sortiert beim Abwerfen das Deck neu				Перемешивает шары при выкидывании	当这颗弹珠被跳过时，重新刷新你的弹珠列表	當這顆彈珠被跳過時，重新刷新你的彈珠列表					
Orbs/remove_on_discard	Can only be discarded once per battle			Kann nur einmal pro Kampf abgeworfen werden				Может быть убран только раз в битву	每场战斗只能被跳过一次	每場戰鬥只能被跳過一次					
Orbs/skip_enemy_turn_on_discard	Prevents enemy turn if discarded			Verhindert beim Abwerfen den feindlichen Zug				Не дает врагу ходить при выкидывании шара	当这颗弹珠被跳过时，跳过敌人的行动回合	當這顆彈珠被跳過時，跳過敵人的行動回合					
Orbs/add_crit_refresh_on_discard	Adds a <sprite name="CRIT_PEG"> and <sprite name="REFRESH_PEG"> on discard			Fügt beim Abwerfen ein <sprite name="CRIT_PEG"> und<sprite name="REFRESH_PEG"> hinzu				Добавляет <sprite name="CRIT_PEG"> и<sprite name="REFRESH_PEG"> при закрытии	当这颗弹珠被跳过时，板面会增加1个额外的 <sprite name="CRIT_PEG"> 和 <sprite name="REFRESH_PEG">	當這顆彈珠被跳過時，板面會增加1個額外的 <sprite name="CRIT_PEG"> 和 <sprite name="REFRESH_PEG">					
Orbs/armor_damage_multiplier	Multiplies damage based on current <color="purple">Armor</color>. Current multiplier: <color="purple">{[ARMOR_DAMAGE_MULTIPLIER]}</color>	Multiplie les dégâts par l'<color="purple">Armure</color> actuelle. Multiplicateur actuel : <color="purple">%md</color>		Multipliziert den Schaden basierend auf der akutellen <color="purple">Rüstung</color>. Aktueller Faktor: <color="purple">{[ARMOR_DAMAGE_MULTIPLIER]}</color>				Умножает урон в зависимости от <color="purple">Брони</color>. Текущий множитель: <color="purple">{[ARMOR_DAMAGE_MULTIPLIER]}</color>	根据当前<color="purple">护甲</color>值增加伤害。当前倍率：<color="purple">{[ARMOR_DAMAGE_MULTIPLIER]}</color>	根據當前<color="purple">護甲</color>值增加傷害。當前倍率：<color="purple">{[ARMOR_DAMAGE_MULTIPLIER]}</color>					
Orbs/armor_max	Increases Maximum <color="purple">Armor</color> by <color="purple">{[MAX_ARMOR_INCREASE]}</color>	Augmente l'<color="purple">Armure</color> maximum de <color="purple">%am</color>.		Erhöht die maximale <color="purple">Rüstung</color> um <color="purple">{[MAX_ARMOR_INCREASE]}</color>				Увеличивает максимальную <color="purple">Броню</color> на <color="purple">{[MAX_ARMOR_INCREASE]}</color>	增加<color="purple">{[MAX_ARMOR_INCREASE]}</color>点<color="purple">护甲</color>上限	增加<color="purple">{[MAX_ARMOR_INCREASE]}</color>點<color="purple">護甲</color>上限					
Orbs/armor_turn	Restores <color="purple">{[ARMOR_PER_RELOAD]} Armor</color> every reload	Restaure <color="purple">{[ARMOR_PER_RELOAD]} Armure</color> à chaque rechargement.		Stellt beim Nachladen <color="purple">{[ARMOR_PER_RELOAD]} Rüstung </color> wieder her				Восстанавливает <color="purple">{[ARMOR_PER_RELOAD]} Брони</color> каждую перезарядку	当这颗弹珠被装填时，恢复<color="purple">{[ARMOR_PER_RELOAD]}</color>点<color="purple">护甲</color>	當這顆彈珠被裝填時，恢復<color="purple">{[ARMOR_PER_RELOAD]}</color>點<color="purple">護甲</color>					
Orbs/armor_discard_max	Restores <color="purple">Armor</color> to max if discarded	Restaure l'<color="purple">Armure</color> à son maximum si défaussée.		Stellt beim Abwerfen die <color="purple">Rüstung</color> vollständig wieder her				Восстанавливает <color="purple">Броню</color> до максимума при выкидывании шара	当这颗弹珠被跳过时，将<color="purple">护甲</color>恢复至上限	當這顆彈珠被跳過時，將<color="purple">護甲</color>恢復至上限					
Orbs/armor_hold	Restores <color="purple">Armor</color> by <color="purple">{[ARMOR_WHILE_HELD]}</color> while held	Restaure l'<color="purple">Armure</color> de <color="purple">{[ARMOR_WHILE_HELD]}</color> tant que tenue		Stellt beim Holstern die <color="purple">Rüstung</color> um <color="purple">{[ARMOR_WHILE_HELD]}</color> wieder her					当这颗弹珠被储存时，恢复<color="purple">{[ARMOR_WHILE_HELD]}</color>点<color="purple">护甲</color>	當這顆彈珠被儲存時，恢復<color="purple">{[ARMOR_WHILE_HELD]}</color>點<color="purple">護甲</color>					
